medal_date,medal_type,name,gender,country,discipline,event
27-07-2024,Gold Medal,EVENEPOEL Remco,Male,Belgium,Cycling Road,Men's Individual Time Trial
27-07-2024,Silver Medal,GANNA Filippo,Male,Italy,Cycling Road,Men's Individual Time Trial
27-07-2024,Bronze Medal,van AERT Wout,Male,Belgium,Cycling Road,Men's Individual Time Trial
27-07-2024,Gold Medal,BROWN Grace,Female,Australia,Cycling Road,Women's Individual Time Trial
27-07-2024,Silver Medal,HENDERSON Anna,Female,Great Britain,Cycling Road,Women's Individual Time Trial
27-07-2024,Bronze Medal,DYGERT Chloe,Female,United States,Cycling Road,Women's Individual Time Trial
27-07-2024,Gold Medal,OH Sanguk,Male,Korea,Fencing,Men's Sabre Individual
27-07-2024,Silver Medal,FERJANI Fares,Male,Tunisia,Fencing,Men's Sabre Individual
27-07-2024,Bronze Medal,SAMELE Luigi,Male,Italy,Fencing,Men's Sabre Individual
27-07-2024,Gold Medal,KONG Man Wai Vivian,Female,"Hong Kong, China",Fencing,Women's Épée Individual
27-07-2024,Silver Medal,MALLO-BRETON Auriane,Female,France,Fencing,Women's Épée Individual
27-07-2024,Bronze Medal,MUHARI Eszter,Female,Hungary,Fencing,Women's Épée Individual
27-07-2024,Gold Medal,SMETOV Yeldos,Male,Kazakhstan,Judo,Men -60 kg
27-07-2024,Silver Medal,MKHEIDZE Luka,Male,France,Judo,Men -60 kg
27-07-2024,Bronze Medal,NAGAYAMA Ryuju,Male,Japan,Judo,Men -60 kg
27-07-2024,Bronze Medal,GARRIGOS Francisco,Male,Spain,Judo,Men -60 kg
27-07-2024,Gold Medal,TSUNODA Natsumi,Female,Japan,Judo,Women -48 kg
27-07-2024,Silver Medal,BAVUUDORJ Baasankhuu,Female,Mongolia,Judo,Women -48 kg
27-07-2024,Bronze Medal,BOUKLI Shirine,Female,France,Judo,Women -48 kg
27-07-2024,Bronze Medal,BABULFATH Tara,Female,Sweden,Judo,Women -48 kg
27-07-2024,Gold Medal,MAERTENS Lukas,Male,Germany,Swimming,Men's 400m Freestyle
27-07-2024,Silver Medal,WINNINGTON Elijah,Male,Australia,Swimming,Men's 400m Freestyle
27-07-2024,Bronze Medal,KIM Woomin,Male,Korea,Swimming,Men's 400m Freestyle
27-07-2024,Gold Medal,TITMUS Ariarne,Female,Australia,Swimming,Women's 400m Freestyle
27-07-2024,Silver Medal,McINTOSH Summer,Female,Canada,Swimming,Women's 400m Freestyle
27-07-2024,Bronze Medal,LEDECKY Katie,Female,United States,Swimming,Women's 400m Freestyle
28-07-2024,Gold Medal,FOX Jessica,Female,Australia,Canoe Slalom,Women's Kayak Single
28-07-2024,Silver Medal,ZWOLINSKA Klaudia,Female,Poland,Canoe Slalom,Women's Kayak Single
28-07-2024,Bronze Medal,WOODS Kimberley,Female,Great Britain,Canoe Slalom,Women's Kayak Single
28-07-2024,Gold Medal,FERRAND PREVOT Pauline,Female,France,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Silver Medal,BATTEN Haley,Female,United States,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Bronze Medal,RISSVEDS Jenny,Female,Sweden,Cycling Mountain Bike,Women's Cross-country
28-07-2024,Gold Medal,KANO Koki,Male,Japan,Fencing,Men's Épée Individual
28-07-2024,Silver Medal,BOREL Yannick,Male,France,Fencing,Men's Épée Individual
28-07-2024,Bronze Medal,ELSAYED Mohamed,Male,Egypt,Fencing,Men's Épée Individual
28-07-2024,Gold Medal,KIEFER Lee,Female,United States,Fencing,Women's Foil Individual
28-07-2024,Silver Medal,SCRUGGS Lauren,Female,United States,Fencing,Women's Foil Individual
28-07-2024,Bronze Medal,HARVEY Eleanor,Female,Canada,Fencing,Women's Foil Individual
28-07-2024,Gold Medal,ABE Hifumi,Male,Japan,Judo,Men -66 kg
28-07-2024,Silver Medal,LIMA Willian,Male,Brazil,Judo,Men -66 kg
28-07-2024,Bronze Medal,KYRGYZBAYEV Gusman,Male,Kazakhstan,Judo,Men -66 kg
28-07-2024,Bronze Medal,VIERU Denis,Male,Republic of Moldova,Judo,Men -66 kg
28-07-2024,Gold Medal,KELDIYOROVA Diyora,Female,Uzbekistan,Judo,Women -52 kg
28-07-2024,Silver Medal,KRASNIQI Distria,Female,Kosovo,Judo,Women -52 kg
28-07-2024,Bronze Medal,PIMENTA Larissa,Female,Brazil,Judo,Women -52 kg
28-07-2024,Bronze Medal,BUCHARD Amandine,Female,France,Judo,Women -52 kg
28-07-2024,Gold Medal,XIE Yu,Male,China,Shooting,10m Air Pistol Men
28-07-2024,Silver Medal,MALDINI Federico Nilo,Male,Italy,Shooting,10m Air Pistol Men
28-07-2024,Bronze Medal,MONNA Paolo,Male,Italy,Shooting,10m Air Pistol Men
28-07-2024,Gold Medal,OH Ye Jin,Female,Korea,Shooting,10m Air Pistol Women
28-07-2024,Silver Medal,KIM Yeji,Female,Korea,Shooting,10m Air Pistol Women
28-07-2024,Bronze Medal,BHAKER Manu,Female,India,Shooting,10m Air Pistol Women
28-07-2024,Gold Medal,YOSHIZAWA Coco,Female,Japan,Skateboarding,Women's Street
28-07-2024,Silver Medal,AKAMA Liz,Female,Japan,Skateboarding,Women's Street
28-07-2024,Bronze Medal,LEAL Rayssa,Female,Brazil,Skateboarding,Women's Street
28-07-2024,Gold Medal,MARTINENGHI Nicolo,Male,Italy,Swimming,Men's 100m Breaststroke
28-07-2024,Silver Medal,PEATY Adam,Male,Great Britain,Swimming,Men's 100m Breaststroke
28-07-2024,Silver Medal,FINK Nic,Male,United States,Swimming,Men's 100m Breaststroke
28-07-2024,Gold Medal,MARCHAND Leon,Male,France,Swimming,Men's 400m Individual Medley
28-07-2024,Silver Medal,MATSUSHITA Tomoyuki,Male,Japan,Swimming,Men's 400m Individual Medley
28-07-2024,Bronze Medal,FOSTER Carson,Male,United States,Swimming,Men's 400m Individual Medley
28-07-2024,Gold Medal,HUSKE Torri,Female,United States,Swimming,Women's 100m Butterfly
28-07-2024,Silver Medal,WALSH Gretchen,Female,United States,Swimming,Women's 100m Butterfly
28-07-2024,Bronze Medal,ZHANG Yufei,Female,China,Swimming,Women's 100m Butterfly
29-07-2024,Gold Medal,GESTIN Nicolas,Male,France,Canoe Slalom,Men's Canoe Single
29-07-2024,Silver Medal,BURGESS Adam,Male,Great Britain,Canoe Slalom,Men's Canoe Single
29-07-2024,Bronze Medal,BENUS Matej,Male,Slovakia,Canoe Slalom,Men's Canoe Single
29-07-2024,Gold Medal,PIDCOCK Thomas,Male,Great Britain,Cycling Mountain Bike,Men's Cross-country
29-07-2024,Silver Medal,KORETZKY Victor,Male,France,Cycling Mountain Bike,Men's Cross-country
29-07-2024,Bronze Medal,HATHERLY Alan,Male,South Africa,Cycling Mountain Bike,Men's Cross-country
29-07-2024,Gold Medal,JUNG Michael,Male,Germany,Equestrian,Eventing Individual
29-07-2024,Silver Medal,BURTON Christopher,Male,Australia,Equestrian,Eventing Individual
29-07-2024,Bronze Medal,COLLETT Laura,Female,Great Britain,Equestrian,Eventing Individual
29-07-2024,Gold Medal,CHEUNG Ka Long,Male,"Hong Kong, China",Fencing,Men's Foil Individual
29-07-2024,Silver Medal,MACCHI Filippo,Male,Italy,Fencing,Men's Foil Individual
29-07-2024,Bronze Medal,ITKIN Nick,Male,United States,Fencing,Men's Foil Individual
29-07-2024,Gold Medal,APITHY-BRUNET Manon,Female,France,Fencing,Women's Sabre Individual
29-07-2024,Silver Medal,BALZER Sara,Female,France,Fencing,Women's Sabre Individual
29-07-2024,Bronze Medal,KHARLAN Olga,Female,Ukraine,Fencing,Women's Sabre Individual
29-07-2024,Gold Medal,HEYDAROV Hidayat,Male,Azerbaijan,Judo,Men -73 kg
29-07-2024,Silver Medal,GABA Joan-Benjamin,Male,France,Judo,Men -73 kg
29-07-2024,Bronze Medal,OSMANOV Adil,Male,Republic of Moldova,Judo,Men -73 kg
29-07-2024,Bronze Medal,HASHIMOTO Soichi,Male,Japan,Judo,Men -73 kg
29-07-2024,Gold Medal,DEGUCHI Christa,Female,Canada,Judo,Women -57 kg
29-07-2024,Silver Medal,HUH Mimi,Female,Korea,Judo,Women -57 kg
29-07-2024,Bronze Medal,FUNAKUBO Haruka,Female,Japan,Judo,Women -57 kg
29-07-2024,Bronze Medal,CYSIQUE Sarah Leonie,Female,France,Judo,Women -57 kg
29-07-2024,Gold Medal,SHENG Lihao,Male,China,Shooting,10m Air Rifle Men
29-07-2024,Silver Medal,LINDGREN Victor,Male,Sweden,Shooting,10m Air Rifle Men
29-07-2024,Bronze Medal,MARICIC Miran,Male,Croatia,Shooting,10m Air Rifle Men
29-07-2024,Gold Medal,BAN Hyojin,Female,Korea,Shooting,10m Air Rifle Women
29-07-2024,Silver Medal,HUANG Yuting,Female,China,Shooting,10m Air Rifle Women
29-07-2024,Bronze Medal,GOGNIAT Audrey,Female,Switzerland,Shooting,10m Air Rifle Women
29-07-2024,Gold Medal,HORIGOME Yuto,Male,Japan,Skateboarding,Men's Street
29-07-2024,Silver Medal,EATON Jagger,Male,United States,Skateboarding,Men's Street
29-07-2024,Bronze Medal,HUSTON Nyjah,Male,United States,Skateboarding,Men's Street
29-07-2024,Gold Medal,CECCON Thomas,Male,Italy,Swimming,Men's 100m Backstroke
29-07-2024,Silver Medal,XU Jiayu,Male,China,Swimming,Men's 100m Backstroke
29-07-2024,Bronze Medal,MURPHY Ryan,Male,United States,Swimming,Men's 100m Backstroke
29-07-2024,Gold Medal,POPOVICI David,Male,Romania,Swimming,Men's 200m Freestyle
29-07-2024,Silver Medal,RICHARDS Matthew,Male,Great Britain,Swimming,Men's 200m Freestyle
29-07-2024,Bronze Medal,HOBSON Luke,Male,United States,Swimming,Men's 200m Freestyle
29-07-2024,Gold Medal,SMITH Tatjana,Female,South Africa,Swimming,Women's 100m Breaststroke
29-07-2024,Silver Medal,TANG Qianting,Female,China,Swimming,Women's 100m Breaststroke
29-07-2024,Bronze Medal,Mc SHARRY Mona,Female,Ireland,Swimming,Women's 100m Breaststroke
29-07-2024,Gold Medal,O'CALLAGHAN Mollie,Female,Australia,Swimming,Women's 200m Freestyle
29-07-2024,Silver Medal,TITMUS Ariarne,Female,Australia,Swimming,Women's 200m Freestyle
29-07-2024,Bronze Medal,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China",Swimming,Women's 200m Freestyle
29-07-2024,Gold Medal,McINTOSH Summer,Female,Canada,Swimming,Women's 400m Individual Medley
29-07-2024,Silver Medal,GRIMES Katie,Female,United States,Swimming,Women's 400m Individual Medley
29-07-2024,Bronze Medal,WEYANT Emma,Female,United States,Swimming,Women's 400m Individual Medley
30-07-2024,Gold Medal,NAGASE Takanori,Male,Japan,Judo,Men -81 kg
30-07-2024,Silver Medal,GRIGALASHVILI Tato,Male,Georgia,Judo,Men -81 kg
30-07-2024,Bronze Medal,LEE Joonhwan,Male,Korea,Judo,Men -81 kg
30-07-2024,Bronze Medal,MAKHMADBEKOV Somon,Male,Tajikistan,Judo,Men -81 kg
30-07-2024,Gold Medal,LESKI Andreja,Female,Slovenia,Judo,Women -63 kg
30-07-2024,Silver Medal,AWITI ALCARAZ Prisca,Female,Mexico,Judo,Women -63 kg
30-07-2024,Bronze Medal,AGBEGNENOU Clarisse,Female,France,Judo,Women -63 kg
30-07-2024,Bronze Medal,FAZLIU Laura,Female,Kosovo,Judo,Women -63 kg
30-07-2024,Gold Medal,HALES Nathan,Male,Great Britain,Shooting,Trap Men
30-07-2024,Silver Medal,QI Ying,Male,China,Shooting,Trap Men
30-07-2024,Bronze Medal,BROL CARDENAS Jean Pierre,Male,Guatemala,Shooting,Trap Men
30-07-2024,Gold Medal,WIFFEN Daniel,Male,Ireland,Swimming,Men's 800m Freestyle
30-07-2024,Silver Medal,FINKE Bobby,Male,United States,Swimming,Men's 800m Freestyle
30-07-2024,Bronze Medal,PALTRINIERI Gregorio,Male,Italy,Swimming,Men's 800m Freestyle
30-07-2024,Gold Medal,McKEOWN Kaylee,Female,Australia,Swimming,Women's 100m Backstroke
30-07-2024,Silver Medal,SMITH Regan,Female,United States,Swimming,Women's 100m Backstroke
30-07-2024,Bronze Medal,BERKOFF Katharine,Female,United States,Swimming,Women's 100m Backstroke
31-07-2024,Gold Medal,OKA Shinnosuke,Male,Japan,Artistic Gymnastics,Men's All-Around
31-07-2024,Silver Medal,ZHANG Boheng,Male,China,Artistic Gymnastics,Men's All-Around
31-07-2024,Bronze Medal,XIAO Ruoteng,Male,China,Artistic Gymnastics,Men's All-Around
31-07-2024,Gold Medal,FOX Jessica,Female,Australia,Canoe Slalom,Women's Canoe Single
31-07-2024,Silver Medal,LILIK Elena,Female,Germany,Canoe Slalom,Women's Canoe Single
31-07-2024,Bronze Medal,LEIBFARTH Evy,Female,United States,Canoe Slalom,Women's Canoe Single
31-07-2024,Gold Medal,TORRES GIL Jose,Male,Argentina,Cycling BMX Freestyle,Men's Park
31-07-2024,Silver Medal,REILLY Kieran Darren David,Male,Great Britain,Cycling BMX Freestyle,Men's Park
31-07-2024,Bronze Medal,JEANJEAN Anthony,Male,France,Cycling BMX Freestyle,Men's Park
31-07-2024,Gold Medal,DENG Yawen,Female,China,Cycling BMX Freestyle,Women's Park
31-07-2024,Silver Medal,BENEGAS Perris,Female,United States,Cycling BMX Freestyle,Women's Park
31-07-2024,Bronze Medal,DIEHM Natalya,Female,Australia,Cycling BMX Freestyle,Women's Park
31-07-2024,Gold Medal,BEKAURI Lasha,Male,Georgia,Judo,Men -90 kg
31-07-2024,Silver Medal,MURAO Sanshiro,Male,Japan,Judo,Men -90 kg
31-07-2024,Bronze Medal,NGAYAP HAMBOU Maxime-Gael,Male,France,Judo,Men -90 kg
31-07-2024,Bronze Medal,TSELIDIS Theodoros,Male,Greece,Judo,Men -90 kg
31-07-2024,Gold Medal,MATIC Barbara,Female,Croatia,Judo,Women -70 kg
31-07-2024,Silver Medal,BUTKEREIT Miriam,Female,Germany,Judo,Women -70 kg
31-07-2024,Bronze Medal,POLLERES Michaela,Female,Austria,Judo,Women -70 kg
31-07-2024,Bronze Medal,WILLEMS Gabriella,Female,Belgium,Judo,Women -70 kg
31-07-2024,Gold Medal,RUANO OLIVA Adriana,Female,Guatemala,Shooting,Trap Women
31-07-2024,Silver Medal,STANCO Silvana Maria,Female,Italy,Shooting,Trap Women
31-07-2024,Bronze Medal,SMITH Penny,Female,Australia,Shooting,Trap Women
31-07-2024,Gold Medal,PAN Zhanle,Male,China,Swimming,Men's 100m Freestyle
31-07-2024,Silver Medal,CHALMERS Kyle,Male,Australia,Swimming,Men's 100m Freestyle
31-07-2024,Bronze Medal,POPOVICI David,Male,Romania,Swimming,Men's 100m Freestyle
31-07-2024,Gold Medal,MARCHAND Leon,Male,France,Swimming,Men's 200m Breaststroke
31-07-2024,Silver Medal,STUBBLETY-COOK Zac,Male,Australia,Swimming,Men's 200m Breaststroke
31-07-2024,Bronze Medal,CORBEAU Caspar,Male,Netherlands,Swimming,Men's 200m Breaststroke
31-07-2024,Gold Medal,MARCHAND Leon,Male,France,Swimming,Men's 200m Butterfly
31-07-2024,Silver Medal,MILAK Kristof,Male,Hungary,Swimming,Men's 200m Butterfly
31-07-2024,Bronze Medal,KHARUN Ilya,Male,Canada,Swimming,Men's 200m Butterfly
31-07-2024,Gold Medal,SJOESTROEM Sarah,Female,Sweden,Swimming,Women's 100m Freestyle
31-07-2024,Silver Medal,HUSKE Torri,Female,United States,Swimming,Women's 100m Freestyle
31-07-2024,Bronze Medal,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China",Swimming,Women's 100m Freestyle
31-07-2024,Gold Medal,LEDECKY Katie,Female,United States,Swimming,Women's 1500m Freestyle
31-07-2024,Silver Medal,KIRPICHNIKOVA Anastasiia,Female,France,Swimming,Women's 1500m Freestyle
31-07-2024,Bronze Medal,GOSE Isabel,Female,Germany,Swimming,Women's 1500m Freestyle
31-07-2024,Gold Medal,YEE Alex,Male,Great Britain,Triathlon,Men's Individual
31-07-2024,Silver Medal,WILDE Hayden,Male,New Zealand,Triathlon,Men's Individual
31-07-2024,Bronze Medal,BERGERE Leo,Male,France,Triathlon,Men's Individual
31-07-2024,Gold Medal,BEAUGRAND Cassandre,Female,France,Triathlon,Women's Individual
31-07-2024,Silver Medal,DERRON Julie,Female,Switzerland,Triathlon,Women's Individual
31-07-2024,Bronze Medal,POTTER Beth,Female,Great Britain,Triathlon,Women's Individual
01-08-2024,Gold Medal,BILES Simone,Female,United States,Artistic Gymnastics,Women's All-Around
01-08-2024,Silver Medal,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's All-Around
01-08-2024,Bronze Medal,LEE Sunisa,Female,United States,Artistic Gymnastics,Women's All-Around
01-08-2024,Gold Medal,PINTADO Brian Daniel,Male,Ecuador,Athletics,Men's 20km Race Walk
01-08-2024,Silver Medal,BONFIM Caio,Male,Brazil,Athletics,Men's 20km Race Walk
01-08-2024,Bronze Medal,MARTIN Alvaro,Male,Spain,Athletics,Men's 20km Race Walk
01-08-2024,Gold Medal,YANG Jiayu,Female,China,Athletics,Women's 20km Race Walk
01-08-2024,Silver Medal,PEREZ Maria,Female,Spain,Athletics,Women's 20km Race Walk
01-08-2024,Bronze Medal,MONTAG Jemima,Female,Australia,Athletics,Women's 20km Race Walk
01-08-2024,Gold Medal,de GENNARO Giovanni,Male,Italy,Canoe Slalom,Men's Kayak Single
01-08-2024,Silver Medal,CASTRYCK Titouan,Male,France,Canoe Slalom,Men's Kayak Single
01-08-2024,Bronze Medal,ECHANIZ Pau,Male,Spain,Canoe Slalom,Men's Kayak Single
01-08-2024,Gold Medal,KOTSOIEV Zelym,Male,Azerbaijan,Judo,Men -100 kg
01-08-2024,Silver Medal,SULAMANIDZE Ilia,Male,Georgia,Judo,Men -100 kg
01-08-2024,Bronze Medal,PALTCHIK Peter,Male,Israel,Judo,Men -100 kg
01-08-2024,Bronze Medal,TUROBOYEV Muzaffarbek,Male,Uzbekistan,Judo,Men -100 kg
01-08-2024,Gold Medal,BELLANDI Alice,Female,Italy,Judo,Women -78 kg
01-08-2024,Silver Medal,LANIR Inbar,Female,Israel,Judo,Women -78 kg
01-08-2024,Bronze Medal,MA Zhenzhao,Female,China,Judo,Women -78 kg
01-08-2024,Bronze Medal,SAMPAIO Patricia,Female,Portugal,Judo,Women -78 kg
01-08-2024,Gold Medal,LIU Yukun,Male,China,Shooting,50m Rifle 3 Positions Men
01-08-2024,Silver Medal,KULISH Serhiy,Male,Ukraine,Shooting,50m Rifle 3 Positions Men
01-08-2024,Bronze Medal,KUSALE Swapnil,Male,India,Shooting,50m Rifle 3 Positions Men
01-08-2024,Gold Medal,KOS Hubert,Male,Hungary,Swimming,Men's 200m Backstroke
01-08-2024,Silver Medal,CHRISTOU Apostolos,Male,Greece,Swimming,Men's 200m Backstroke
01-08-2024,Bronze Medal,MITYUKOV Roman,Male,Switzerland,Swimming,Men's 200m Backstroke
01-08-2024,Gold Medal,DOUGLASS Kate,Female,United States,Swimming,Women's 200m Breaststroke
01-08-2024,Silver Medal,SMITH Tatjana,Female,South Africa,Swimming,Women's 200m Breaststroke
01-08-2024,Bronze Medal,SCHOUTEN Tes,Female,Netherlands,Swimming,Women's 200m Breaststroke
01-08-2024,Gold Medal,McINTOSH Summer,Female,Canada,Swimming,Women's 200m Butterfly
01-08-2024,Silver Medal,SMITH Regan,Female,United States,Swimming,Women's 200m Butterfly
01-08-2024,Bronze Medal,ZHANG Yufei,Female,China,Swimming,Women's 200m Butterfly
02-08-2024,Gold Medal,CHEPTEGEI Joshua,Male,Uganda,Athletics,"Men's 10,000m"
02-08-2024,Silver Medal,AREGAWI Berihu,Male,Ethiopia,Athletics,"Men's 10,000m"
02-08-2024,Bronze Medal,FISHER Grant,Male,United States,Athletics,"Men's 10,000m"
02-08-2024,Gold Medal,DAUDET Joris,Male,France,Cycling BMX Racing,Men
02-08-2024,Silver Medal,ANDRE Sylvain,Male,France,Cycling BMX Racing,Men
02-08-2024,Bronze Medal,MAHIEU Romain,Male,France,Cycling BMX Racing,Men
02-08-2024,Gold Medal,SAKAKIBARA Saya,Female,Australia,Cycling BMX Racing,Women
02-08-2024,Silver Medal,VEENSTRA Manon,Female,Netherlands,Cycling BMX Racing,Women
02-08-2024,Bronze Medal,CLAESSENS Zoe,Female,Switzerland,Cycling BMX Racing,Women
02-08-2024,Gold Medal,RINER Teddy,Male,France,Judo,Men +100 kg
02-08-2024,Silver Medal,KIM Minjong,Male,Korea,Judo,Men +100 kg
02-08-2024,Bronze Medal,RAKHIMOV Temur,Male,Tajikistan,Judo,Men +100 kg
02-08-2024,Bronze Medal,YUSUPOV Alisher,Male,Uzbekistan,Judo,Men +100 kg
02-08-2024,Gold Medal,SOUZA Beatriz,Female,Brazil,Judo,Women +78 kg
02-08-2024,Silver Medal,HERSHKO Raz,Female,Israel,Judo,Women +78 kg
02-08-2024,Bronze Medal,KIM Hayun,Female,Korea,Judo,Women +78 kg
02-08-2024,Bronze Medal,DICKO Romane,Female,France,Judo,Women +78 kg
02-08-2024,Gold Medal,LEONE Chiara,Female,Switzerland,Shooting,50m Rifle 3 Positions Women
02-08-2024,Silver Medal,MADDALENA Sagen,Female,United States,Shooting,50m Rifle 3 Positions Women
02-08-2024,Bronze Medal,ZHANG Qiongyue,Female,China,Shooting,50m Rifle 3 Positions Women
02-08-2024,Gold Medal,MARCHAND Leon,Male,France,Swimming,Men's 200m Individual Medley
02-08-2024,Silver Medal,SCOTT Duncan,Male,Great Britain,Swimming,Men's 200m Individual Medley
02-08-2024,Bronze Medal,WANG Shun,Male,China,Swimming,Men's 200m Individual Medley
02-08-2024,Gold Medal,McEVOY Cameron,Male,Australia,Swimming,Men's 50m Freestyle
02-08-2024,Silver Medal,PROUD Benjamin,Male,Great Britain,Swimming,Men's 50m Freestyle
02-08-2024,Bronze Medal,MANAUDOU Florent,Male,France,Swimming,Men's 50m Freestyle
02-08-2024,Gold Medal,McKEOWN Kaylee,Female,Australia,Swimming,Women's 200m Backstroke
02-08-2024,Silver Medal,SMITH Regan,Female,United States,Swimming,Women's 200m Backstroke
02-08-2024,Bronze Medal,MASSE Kylie,Female,Canada,Swimming,Women's 200m Backstroke
02-08-2024,Bronze Medal,SWIATEK Iga,Female,Poland,Tennis,Women's Singles
02-08-2024,Gold Medal,LITVINOVICH Ivan,Male,AIN,Trampoline Gymnastics,Men
02-08-2024,Silver Medal,WANG Zisai,Male,China,Trampoline Gymnastics,Men
02-08-2024,Bronze Medal,YAN Langyu,Male,China,Trampoline Gymnastics,Men
02-08-2024,Gold Medal,PAGE Bryony,Female,Great Britain,Trampoline Gymnastics,Women
02-08-2024,Silver Medal,BARDZILOUSKAYA Viyaleta,Female,AIN,Trampoline Gymnastics,Women
02-08-2024,Bronze Medal,METHOT Sophiane,Female,Canada,Trampoline Gymnastics,Women
03-08-2024,Gold Medal,LIM Sihyeon,Female,Korea,Archery,Women's Individual
03-08-2024,Silver Medal,NAM Suhyeon,Female,Korea,Archery,Women's Individual
03-08-2024,Bronze Medal,BARBELIN Lisa,Female,France,Archery,Women's Individual
03-08-2024,Gold Medal,YULO Carlos Edriel,Male,Philippines,Artistic Gymnastics,Men's Floor Exercise
03-08-2024,Silver Medal,DOLGOPYAT Artem,Male,Israel,Artistic Gymnastics,Men's Floor Exercise
03-08-2024,Bronze Medal,JARMAN Jake,Male,Great Britain,Artistic Gymnastics,Men's Floor Exercise
03-08-2024,Gold Medal,Mc CLENAGHAN Rhys,Male,Ireland,Artistic Gymnastics,Men's Pommel Horse
03-08-2024,Silver Medal,KURBANOV Nariman,Male,Kazakhstan,Artistic Gymnastics,Men's Pommel Horse
03-08-2024,Bronze Medal,NEDOROSCIK Stephen,Male,United States,Artistic Gymnastics,Men's Pommel Horse
03-08-2024,Gold Medal,BILES Simone,Female,United States,Artistic Gymnastics,Women's Vault
03-08-2024,Silver Medal,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's Vault
03-08-2024,Bronze Medal,CAREY Jade,Female,United States,Artistic Gymnastics,Women's Vault
03-08-2024,Gold Medal,ROOTH Markus,Male,Norway,Athletics,Men's Decathlon
03-08-2024,Silver Medal,NEUGEBAUER Leo,Male,Germany,Athletics,Men's Decathlon
03-08-2024,Bronze Medal,VICTOR Lindon,Male,Grenada,Athletics,Men's Decathlon
03-08-2024,Gold Medal,CROUSER Ryan,Male,United States,Athletics,Men's Shot Put
03-08-2024,Silver Medal,KOVACS Joe,Male,United States,Athletics,Men's Shot Put
03-08-2024,Bronze Medal,CAMPBELL Rajindra,Male,Jamaica,Athletics,Men's Shot Put
03-08-2024,Gold Medal,ALFRED Julien,Female,Saint Lucia,Athletics,Women's 100m
03-08-2024,Silver Medal,RICHARDSON Sha'carri,Female,United States,Athletics,Women's 100m
03-08-2024,Bronze Medal,JEFFERSON Melissa,Female,United States,Athletics,Women's 100m
03-08-2024,Gold Medal,LAFOND Thea,Female,Dominica,Athletics,Women's Triple Jump
03-08-2024,Silver Medal,RICKETTS Shanieka,Female,Jamaica,Athletics,Women's Triple Jump
03-08-2024,Bronze Medal,MOORE Jasmine,Female,United States,Athletics,Women's Triple Jump
03-08-2024,Bronze Medal,WU Shih Yi,Female,Chinese Taipei,Boxing,Women's 60kg
03-08-2024,Bronze Medal,SOARES FERREIRA Beatriz Iasmin,Female,Brazil,Boxing,Women's 60kg
03-08-2024,Gold Medal,EVENEPOEL Remco,Male,Belgium,Cycling Road,Men's Road Race
03-08-2024,Silver Medal,MADOUAS Valentin,Male,France,Cycling Road,Men's Road Race
03-08-2024,Bronze Medal,LAPORTE Christophe,Male,France,Cycling Road,Men's Road Race
03-08-2024,Gold Medal,ZEIDLER Oliver,Male,Germany,Rowing,Men's Single Sculls
03-08-2024,Silver Medal,ZALATY Yauheni,Male,AIN,Rowing,Men's Single Sculls
03-08-2024,Bronze Medal,van DORP Simon,Male,Netherlands,Rowing,Men's Single Sculls
03-08-2024,Gold Medal,FLORIJN Karolien,Female,Netherlands,Rowing,Women's Single Sculls
03-08-2024,Silver Medal,TWIGG Emma,Female,New Zealand,Rowing,Women's Single Sculls
03-08-2024,Bronze Medal,SENKUTE Viktorija,Female,Lithuania,Rowing,Women's Single Sculls
03-08-2024,Gold Medal,REUVENY Tom,Male,Israel,Sailing,Men's Windsurfing
03-08-2024,Silver Medal,MORRIS Grae,Male,Australia,Sailing,Men's Windsurfing
03-08-2024,Bronze Medal,van OPZEELAND Luuc,Male,Netherlands,Sailing,Men's Windsurfing
03-08-2024,Gold Medal,MAGGETTI Marta,Female,Italy,Sailing,Women's Windsurfing
03-08-2024,Silver Medal,KANTOR Sharon,Female,Israel,Sailing,Women's Windsurfing
03-08-2024,Bronze Medal,WILSON Emma,Female,Great Britain,Sailing,Women's Windsurfing
03-08-2024,Gold Medal,YANG Jiin,Female,Korea,Shooting,25m Pistol Women
03-08-2024,Silver Medal,JEDRZEJEWSKI Camille,Female,France,Shooting,25m Pistol Women
03-08-2024,Bronze Medal,MAJOR Veronika,Female,Hungary,Shooting,25m Pistol Women
03-08-2024,Gold Medal,HANCOCK Vincent,Male,United States,Shooting,Skeet Men
03-08-2024,Silver Medal,PRINCE Conner Lynn,Male,United States,Shooting,Skeet Men
03-08-2024,Bronze Medal,LEE Meng Yuan,Male,Chinese Taipei,Shooting,Skeet Men
03-08-2024,Gold Medal,MILAK Kristof,Male,Hungary,Swimming,Men's 100m Butterfly
03-08-2024,Silver Medal,LIENDO Josh,Male,Canada,Swimming,Men's 100m Butterfly
03-08-2024,Bronze Medal,KHARUN Ilya,Male,Canada,Swimming,Men's 100m Butterfly
03-08-2024,Gold Medal,McINTOSH Summer,Female,Canada,Swimming,Women's 200m Individual Medley
